text,label_score,label,target_predict,target_predict_label
"+20 ] (8) To train the critic, we symlog transform the targets R t and then twohot encode them into a soft label for the softmax distribution produced by the critic.",,,1,related
"Several works have addressed the problem of finding compact state representations from raw sensory streams in a model-free MDP setting [3], [4], [5], [6].",,,0,not_related
"Some of the recent unsupervised state representations are Time Contrastive Network (TCN) [32], conditional models of Noise Contrastive Estimation (CM-NCE) [33], SpatioTemporal Deep InfoMax (ST-DIM) [18], Balanced View Spatial Deep InfoMax (BVS-DIM) [22], CURL [6] and augmented temporal contrast (ATC) [21].",,,0,not_related
Some researchers used state variables of video games as an evaluation methods such as [18] and [22] while other used reinforcement learning tasks such as [6] and [21].,,,0,not_related
"In ST-DIM, τ = 1 while in ATC they used τ = 3.",,,1,related
"There in no modification of equation 5 since it is adjusted with p = 2 ∗ (0.5− r) when we have r   0.5
xbmn(i, j) :=
{ x∗1(i, j) if Ci,j = true
xmin(i, j) otherwise (8)
xbmx(i, j) :=
{ x∗2(i, j) if Ci,j = true
xmax(i, j) otherwise (9)
In ST-DIM and ATC the temporally close frames are taken as the view of one another.",,,1,related
"However, learning in ST-DIM and ATC is limited to time sequenced samples, and we hypothesize the success of representation learning in ST-DIM and ATC depends on the similarity factor of these temporal observations.",,,0,not_related
"Video games and reinforcement learning based control tasks are useful candidates for evaluating representation learning algorithms [12], [18]–[21].",,,0,not_related
Devising a generic way of evaluation of the general goodness of the representation is however essential [18].,,,0,not_related
"On the other hand, ST-DIM and BVS-DIM made evaluation of the learned representations by using state variables of the game environments.",,,0,not_related
"Since τ is considered as a factor of spatio-temporal similarity-contrast, there was no possible values to choose for τ other than integers in ST-DIM and ATC.",,,0,not_related
"Various unsupervised/self-supervised auxiliary objectives like autoencoders [34, 45, 83], forward [31] and inverse dynamics [56], spatio-temporal mutual information maximization [2, 35], contrastive learning [32, 33, 66, 85], derive supervision from the agent’s own experience.",,,0,not_related
"[2] Ankesh Anand, Evan Racah, Sherjil Ozair, Yoshua Bengio, Marc-Alexandre Côté, and R.",,,0,not_related
"Some common auxiliary tasks in RL include: (1) future prediction [26, 15, 46, 13, 32], which predicts an agent’s future state conditioned on its current state and the actions taken, (2) inverse dynamic [15, 46, 32], which predicts the actions taken between two states, and (3) contrastive learning [3, 36], which applies contrastive learning to refine the state representation.",,,0,not_related
"This protocol is related to the one used in [1], but we probe not only the encoder output, but also the predictor output.",,,1,related
"These games are the only two from our datasets with a fixed number of objects, which allows for a very simple policy architecture, and for which perfect information obtained from the RAM using [1] is available.",,,0,not_related
The first was to use the RAM hacking approach of AtariARI [1].,,,0,not_related
"[1] Ankesh Anand, Evan Racah, Sherjil Ozair, Yoshua Bengio, Marc-Alexandre Côté, and R.",,,0,not_related
"Representation Learning World Model (Ha & Schmidhuber, 2018) Reconstruction 3 7 ST-DIM (Anand et al., 2019) Forward Pixel Prediction 3 7 ATC (Stooke et al.",,,0,not_related
"These approaches usually incorporate temporal information, aiming to distinguish between sequential and non-sequential states (Anand et al., 2019; Stooke et al., 2021).",,,0,not_related
"Furthermore, recent work has shown significance of learning representations through self supervised objectives in RL [3, 55], often as a pre-training phase [56, 70], which can help for both exploration [36] and control [71].",,,0,not_related
"[3] Ankesh Anand, Evan Racah, Sherjil Ozair, Yoshua Bengio, Marc-Alexandre Côté, and R.",,,0,not_related
"We mostly used the default parameters from the Atari agent in (Hafner et al., 2020) but increased the RSSM recurrent state size and tuned the KL and entropy scales to the new environment.",,,1,related
"Deep reinforcement learning (RL) has made tremendous progress in recent years, outperforming humans on Atari games (Mnih et al., 2015; Badia et al., 2020), board games (Silver et al., 2016; Schrittwieser et al., 2019), and advances in robot learning (Akkaya et al., 2019; Wu et al., 2022).",,,0,not_related
The differences from the parameters of the original DreamerV2 Atari model (Table D.1 in Hafner et al. (2020)) are shown in bold face.,,,1,related
"Unsupervised representations are commonly evaluated by probing (Oord et al., 2018; Chen et al., 2020; Gregor et al., 2019; Anand et al., 2019), where a separate network is trained to predict relevant properties from the frozen representations.",,,0,not_related
"A standardized probe benchmark is available for Atari (Anand et al., 2019), but those tasks require almost no memory.",,,0,not_related
[28] systematically evaluate the importance of key representational biases encoded by DQN’s network by proposing simple linear representations.,,,0,not_related
"When learning a predictive information representation between a state, action pair and its subsequent state, the learning task is equivalent to modeling environment dynamics [4].",,,0,not_related
"While existing studies of learning predictive information representations in RL [2, 3, 4, 8, 9] have largely been limited to learning single-task specialist agents in simulated environments such as DM-Control [10] and Atari [11], our hypotheses can be seen as extending the generalization results in Lee et al.",,,0,not_related
"Previous studies [17, 2, 4, 3, 9, 18, 8, 19] have shown that predictive information [1] is an effective auxiliary or representation learning objective for RL agents or planning.",,,0,not_related
"(2) They do so in a readily interpretable manner, enabling out-of-distribution generalization when sensory features are altered.",,,0,not_related
"Along similar lines, (56; 2; 54; 19; 21; 18; 36; 1) have begun to explore contrastive systems and binary classifiers to do imitation learning and RL.",,,0,not_related
"One must (1) generate a good idea, (2) conduct mathematical analyses or experiments, (3) write a paper, and finally, (4) respond to reviewers in a satisfactory manner.",,,0,not_related
"CPC [73] and ST-DIM [30] use temporal contrastive losses to maximize the MI between the previous state embedding and a future embedding several time steps later, but they both do not leverage DA to transform the observations.",,,0,not_related
"Instead of maximizing the MI between the current state and the future state using the InfoNCE loss [73, 30, 38], SPR [23] produces state representations by minimizing the prediction error between the true future states and the predicted future states using an explicit multi-step DM.",,,1,related
"generate fully imagined trajectories [39], model multi-agent interactions [22], learn competitive policies through selfplay [23], imagine goals in goal-conditioned policies [40], [41], meta-reinforcement learning [42], and offline reinforcement learning [43].",,,0,not_related
"In classical RL [26], where behaviour is learned from a given reward function, mutual information objectives are commonly used to find compact state representations that increase performance by discarding irrelevant information [29, 3, 37, 24, 22].",,,0,not_related
"Another possible path would be using previously proposed benchmarks like the AtariARI benchmark (Anand et al., 2020), which tries to evaluate representations using the RAM states as ground truth labels.",,,0,not_related
"Another possible path would be using previously proposed benchmarks like the AtariARI benchmark Anand et al. (2020), which tries to evaluate representations using the RAM states as ground truth labels.",,,0,not_related
"Pretraining representations Previous work has explored, similarly to our approach, pretraining representations using self-supervised methods which led to great data-efficiency improvements in the fine-tuning phase (Schwarzer et al., 2021b; Zhan et al., 2020) or superior results in evaluation tasks, like AtariARI (Anand et al., 2020).",,,0,not_related
"…unlike images from datasets like ImageNet or MSCOCO, observations from reinforcement learning environments share similarities in more dimensions, for example, time (Stooke et al., 2021; Anand et al., 2020), semantics (Fan et al., 2022; Zhong et al., 2022), and behavior (Agarwal et al., 2021a).",,,0,not_related
"…work has explored, similarly to our approach, pretraining representations using self-supervised methods which led to great data-efficiency improvements in the fine-tuning phase (Schwarzer et al., 2021b; Zhan et al., 2020) or superior results in evaluation tasks, like AtariARI (Anand et al., 2020).",,,0,not_related
"Several works have addressed the problem of finding compact state representations from raw sensory streams in a model-free MDP setting [3], [4], [5], [6].",,,0,not_related
"Our work is also related to unsupervised representation learning methods based on mutual information estimation [33], [34].",,,1,related
"This objective has previously been used in the context of augmented multiscale DIM (AMDIM) [41], cross-modal DIM (CM-DIM) [51], and spatio-temporal DIM (ST-DIM) [52].",,,0,not_related
"Previously, augmented multiscale DIM (AMDIM) [41], cross-modal DIM (CM-DIM) [50, 51], and spatio-temporal DIM (ST-DIM) [52] used local intermediate representation of convolutional layers to capture multi-scale relationships between multiple views, modalities or time frames.",,,0,not_related
"The CC objective has been used in AMDIM [41], CM-DIM [51], and ST-DIM [52].",,,0,not_related
"[49] introduced a new contrastive loss to learn better representation in a fully unsupervised setting, while in [45], the authors adapted the BYOL objective [50] for learning the visual encoder in parallel with the RL objective, which led to state-of-the-art results on the Atari benchmark.",,,0,not_related
"5) and momentum encoders [83] were used in combination with SAC and Proximal Policy Optimization (PPO) [84] by [48], SAC and RainbowDQN [85] by CURL [44], distributional Q-learning by [86], and PPO by [87] for continuous and discrete control problems.",,,0,not_related
"STDIM [3], ATC [46] and BVS-DIM [35] incorporate temporal information in their contrastive objective, adapting similar techniques from the unsupervised video representation learning [45].",,,0,not_related
"Some prior work [41, 21, 3] evaluate the quality of their pretrained representations by probing for ground truth state variables such as agent/object locations and game scores.",,,0,not_related
"Contrastive losses (Oord et al., 2018; Anand et al., 2019; Srinivas et al., 2020; Stooke et al., 2021), which encourage similar states to be closer in embedding space, where the notion of similarity is usually defined in terms of temporal distance (Anand et al.",,,0,not_related
"…et al., 2021), which encourage similar states to be closer in embedding space, where the notion of similarity is usually defined in terms of temporal distance (Anand et al., 2019; Sermanet et al., 2018) or image-based data augmentations (Srinivas et al., 2020), also show promising performance.",,,0,not_related
", 2021), which encourage similar states to be closer in embedding space, where the notion of similarity is usually defined in terms of temporal distance (Anand et al., 2019; Sermanet et al., 2018) or image-based data augmentations (Srinivas et al.",,,0,not_related
"Contrastive losses (Oord et al., 2018; Anand et al., 2019; Srinivas et al., 2020; Stooke et al., 2021), which encourage similar states to be closer in embedding space, where the notion of similarity is usually defined in terms of temporal distance (Anand et al., 2019; Sermanet et al., 2018) or…",,,0,not_related
"Finally, object-level world-models have been used to constrain action-spaces, and states in robotics [85,86] and control domains [87,12,88].",,,0,not_related
"For learning representations from image-based RL tasks, CPC (van den Oord et al., 2018), ST-DIM (Anand et al., 2019), DRIML (Mazoure et al., 2020), CURL (Laskin et al., 2020), and SPR (Schwarzer et al., 2021) learn representations by optimizing various temporal contrastive losses.",,,0,not_related
"To address these sample complexity demands, a recent line of work (van den Oord et al., 2018; Anand et al., 2019; Mazoure et al., 2020; Yang & Nachum, 2021) has incorporated advances in unsupervised representation learning from the supervised learning literature into developing RL agents.",,,0,not_related
"We compare our representational objective against CURL and SPR in Section 6, and demonstrate that under linear evaluation protocol, ours outperform both CURL and SPR. Note, we refer the readers to Schwarzer et al. (2021) for comparisons between SPR and CPC, ST-DIM, and DRIML.",,,1,related
"Extensive work [2, 3, 12] in dissimilar domains of AI and games such as player experience modeling, general gameplaying or content generation make use of the internal state of the game [1, 9] obtained from the game engine.",,,0,not_related
"[1], we evaluate how well the learned representations have captured information relevant to the game",,,0,not_related
"[65] that demonstrated the effectiveness of auxiliary unsupervised objectives for RL, a variety of unsupervised learning objectives have been studied, including future latent reconstruction [27, 66, 67, 68], bisimulation [69, 70], contrastive learning [71, 72, 73, 74, 75, 30, 76, 29, 77, 78], keypoint extraction [79, 80, 81, 82], world model learning [8, 9, 10, 55] and reconstruction [83, 84].",,,0,not_related
"Self-supervised representation learning aims to group states together without loss of that property (Anand et al. 2019; Kipf, van der Pol, and Welling 2020).",,,0,not_related
"3 While most methods generate the “positive” examples via data augmentation, some methods generate similar examples using different camera viewpoints of the same scene [109, 121], or by sampling examples that occur close in time within time series data [4, 95, 109, 117].",,,0,not_related
"Even when the state representation is trained parallel with the agent as in [27] or when unsupervised learning is used as in [1,30], the training is still time-consuming since multiple convolutional networks are trained.",,,0,not_related
"This evaluation approach, called linear probing [2], has been used to evaluate representations of Atari games.",,,0,not_related
[2] proposed a self-supervised learning method which utilizes,,,0,not_related
"application tasks in games research—including gameplaying, modeling user behavior, and content generation—use image representations of games containing information about critical factors describing the current state of the game [2].",,,0,not_related
"This approach, however, has two core limitations: first, it requires time-distributed images as the method’s loss function incorporates temporal difference between the game’s images and, second, it presents results on basic Atari games that are restricted to simple and abstract 2D grid environments, which are not representative of most modern era games.",,,0,not_related
"As mentioned earlier, recent work in self-supervised representation learning considered 2D game environments such as Atari [2].",,,0,not_related
"To solidify these conclusions, further investigation would be required with other contrastive and non-contrastive SSL methods such as Barlow Twins [5], SimSiam [6], VICReg [7],
and DINO [38], as well as time-distributed SSL approaches such as ST-DIM [2].",,,0,not_related
"More recently, Anand et al. [2] proposed a self-supervised learning method which utilizes
the spatial and temporal relations between frames of different Atari games to learn important visual features of the game’s image.",,,0,not_related
Following the principles of [2] the evaluation takes place by quantifying the capacity of a linear model to recover or predict the internal game state variables based on the derived SSL representations.,,,0,not_related
"Indicatively, a number of recent studies have effectively used ConvNets with reinforcement learning for playing Atari games [18]–[20] by mapping the game’s raw image to an action to be performed for maximizing the game’s score.",,,0,not_related
"be required with other contrastive and non-contrastive SSL methods such as Barlow Twins [5], SimSiam [6], VICReg [7], and DINO [38], as well as time-distributed SSL approaches such as ST-DIM [2].",,,0,not_related
"The internal state of Atari games is described via discrete variables, and thus linear probing in [2] evaluated the capacity of a linear model to predict the class of the internal game
state variables.",,,0,not_related
"The internal state of Atari games is described via discrete variables, and thus linear probing in [2] evaluated the capacity of a linear model to predict the class of the internal game",,,0,not_related
"In this paper, we use a Contrastive Predictive Coding (CPC) algorithm (Oord et al., 2018) which was shown useful for finding predictive latent variables (Anand et al., 2019; Henaff, 2020; Yan et al., 2020).",,,1,related
"…the CPC algorithm, (Oord et al., 2018) is used for finding predictive latent representations, which is useful for data-efficient image recognition (Henaff, 2020) and learning world-models
that supports robotic object manipulation (Yan et al., 2020) and playing Atari games (Anand et al., 2019).",,,0,not_related
"…2010; Lange et al., 2012; Yarats et al., 2021b), contrastive objectives (van den Oord et al., 2018; Laskin et al., 2020a), data augmentation (Yarats et al., 2021a), and mutual information maximization (Anand et al., 2019; Choi et al., 2021) to learn representations for downstream control.",,,0,not_related
"CPC [32], CPC|Action [17] and ST-Dim [3] propose different variants of temporal contrastive losses, however these methods add complexity and require a sequence of images for training.",,,0,not_related
"Minimizing the contrastive loss is known to be less computationally costly and can produce good representations from high-dimensional inputs (Oord et al., 2018; Anand et al., 2019; Chen et al., 2020; Laskin et al., 2020; van der Pol et al., 2020a), thus we use it here.",,,0,not_related
"which no additional annotation is needed for the representation learning, the network is trained to produce consistent embeddings for semantically similar input (positives), contrasting them with other, more distant samples (negatives) [6], [8]– [10].",,,0,not_related
"Following CPC concepts, ST-DIM [8] used both patch structure and temporal positions of observations, aligning nearby frames.",,,0,not_related
"According to the different objectives of auxiliary tasks, existing auxiliary tasks in model-free RL frameworks can be roughly categorized into three types, reconstruction-based [7, 11], prediction-based [10, 15, 34] and contrastive-learning based [1, 18, 22].",,,0,not_related
"The main idea of most contrastive-learning based auxiliary tasks is to hope that the representation of anchor sample is closer to the representation of positive samples and farther from the representation of negative samples in the latent vector space [1, 2, 4, 22, 30].",,,0,not_related
"…al., 2019; 2021), reconstruction (Yarats et al., 2021c), future representation prediction (Gelada et al., 2019; Schwarzer et al., 2021a), bisimulation (Castro, 2020; Zhang et al., 2021), and contrastive learning (Oord et al., 2018; Anand et al., 2019; Mazoure et al., 2020; Srinivas et al., 2020).",,,0,not_related
", 2021), and contrastive learning (Oord et al., 2018; Anand et al., 2019; Mazoure et al., 2020; Srinivas et al., 2020).",,,0,not_related
"However, despite the loss functions operating directly on the agent’s representation, the representations themselves are rarely evaluated beyond evaluating the returns, with some exceptions (Anand et al., 2019; Zhang et al., 2020; Mazoure et al., 2021; Lyle et al., 2021).",,,0,not_related
"Usable annotation is completely absent from the Atari benchmark (Bellemare et al., 2013), though wrappers have been created to aid in representation learning research (e.g., Anand et al., 2019), which has meaning only within a single task “game”.",,,0,not_related
"(Zhang et al., 2016; Anand et al., 2019).",,,0,not_related
"sigmoid (max{Wsi + b}), to predict VQA-style questions in the form “is there a (size, color, material, shape) object in the image?” (Zhang et al., 2016; Anand et al., 2019).",,,0,not_related
"Contrastive learning (Oord et al., 2018; He et al., 2020) is always used as an unsupervised learning approach to extract useful representations from high-dimensional data, which has been applied successfully to image recognition (Henaff, 2020) and RL (Anand et al., 2019; Laskin et al., 2020).",,,0,not_related
", 2020) is always used as an unsupervised learning approach to extract useful representations from high-dimensional data, which has been applied successfully to image recognition (Henaff, 2020) and RL (Anand et al., 2019; Laskin et al., 2020).",,,0,not_related
"…Guo et al., 2020; Lee et al., 2020a;b; Schwarzer et al., 2021a; Yu et al., 2021) and contrastive learning of instance discrimination (Laskin et al., 2020b) or (spatial -) temporal discrimination (Oord
et al., 2018; Anand et al., 2019; Stooke et al., 2020; Zhu et al., 2020; Mazoure et al., 2020).",,,0,not_related
", 2020b) or (spatial -) temporal discrimination (Oord et al., 2018; Anand et al., 2019; Stooke et al., 2020; Zhu et al., 2020; Mazoure et al., 2020).",,,0,not_related
"This idea is further explored in ATC [Stooke et al., 2021] and STDIM [Anand et al., 2019] where a temporal contrast is adopted instead.",,,0,not_related
", 2021] and STDIM [Anand et al., 2019] where a temporal contrast is adopted instead.",,,0,not_related
"When unsupervisedly training a low-level layer, at each time step, a random action was taken of a game (Anand et al., 2019), then minibatches of size 32 were randomly extracted from a buffer of 10(6) recent frames to train the network using eq.",,,0,not_related
", computer vision [1, 2, 3], natural language [4, 5], code [6], reinforcement learning [7, 8, 9], and graphs [10].",,,0,not_related
"We also experiment with a temporal contrastive objective which treats pairs of observations close in time as positive examples and un-correlated timestamps as negative examples [2, 52, 23].",,,0,not_related
